dn:objectClass:objectClass:objectClass:uid:sn:givenName:cn:displayName:uidNumber:gidNumber:userPassword:gecos:loginShell:homeDirectory:shadowExpire:shadowFlag:shadowWarning:shadowMin:shadowMax:shadowLastChange:email:initials
uid=pmartinez,ou=DeptDireccion,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:pmartinez:Martinez:Pepito:Pepito Martinez:Pepito Martinez:50000:20000:U|dh>#w+a!:Pepito Martinez:/bin/bash:/home/pmartinez:-1:0:5:0:18:0:pmartinez@iesbrochillop.edu-gva.es:PM
uid=pgonzo,ou=DeptDireccion,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:pgonzo:Gonzo:Pepito:Pepito Gonzo:Pepito Gonzo:50001:20000:bAR[g[x?~~:Pepito Gonzo:/bin/bash:/home/pgonzo:-1:0:5:0:18:0:pgonzo@iesbrochillop.edu-gva.es:PG
uid=pbonzo,ou=DeptDireccion,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:pbonzo:Bonzo:Pepito:Pepito Bonzo:Pepito Bonzo:50002:20000:*DHmk?y5&,:Pepito Bonzo:/bin/bash:/home/pbonzo:-1:0:5:0:18:0:pbonzo@iesbrochillop.edu-gva.es:PB
uid=ptonzo,ou=DeptDireccion,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:ptonzo:Tonzo:Pepito:Pepito Tonzo:Pepito Tonzo:50003:20000:5uOqzikya:Pepito Tonzo:/bin/bash:/home/ptonzo:-1:0:5:0:18:0:ptonzo@iesbrochillop.edu-gva.es:PT
uid=jtroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jtroncho:Troncho:Jesus:Jesus Troncho:Jesus Troncho:50004:20001:6gB|mx)LK_:Jesus Troncho:/bin/bash:/home/jtroncho:-1:0:5:0:18:0:jtroncho@iesbrochillop.edu-gva.es:JT
uid=jbroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jbroncho:Broncho:Jesus:Jesus Broncho:Jesus Broncho:50005:20001:10_g.)<(@k:Jesus Broncho:/bin/bash:/home/jbroncho:-1:0:5:0:18:0:jbroncho@iesbrochillop.edu-gva.es:JB
uid=jvroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jvroncho:Vroncho:Jesus:Jesus Vroncho:Jesus Vroncho:50006:20001:7n@iN%oa&3:Jesus Vroncho:/bin/bash:/home/jvroncho:-1:0:5:0:18:0:jvroncho@iesbrochillop.edu-gva.es:JV
uid=jcroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jcroncho:Croncho:Jesus:Jesus Croncho:Jesus Croncho:50007:20001:+b/%LyB6Ze:Jesus Croncho:/bin/bash:/home/jcroncho:-1:0:5:0:18:0:jcroncho@iesbrochillop.edu-gva.es:JC
uid=jsroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jsroncho:Sroncho:Jesus:Jesus Sroncho:Jesus Sroncho:50008:20001:PmC^s*jFvd:Jesus Sroncho:/bin/bash:/home/jsroncho:-1:0:5:0:18:0:jsroncho@iesbrochillop.edu-gva.es:JS
uid=jproncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jproncho:Proncho:Jesus:Jesus Proncho:Jesus Proncho:50009:20001:scw>H-@&]o:Jesus Proncho:/bin/bash:/home/jproncho:-1:0:5:0:18:0:jproncho@iesbrochillop.edu-gva.es:JP
uid=jjroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jjroncho:Jroncho:Jesus:Jesus Jroncho:Jesus Jroncho:50010:20001:[d6F~Qj.8X:Jesus Jroncho:/bin/bash:/home/jjroncho:-1:0:5:0:18:0:jjroncho@iesbrochillop.edu-gva.es:JJ
uid=jdroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jdroncho:Droncho:Jesus:Jesus Droncho:Jesus Droncho:50011:20001:-5h%DM/Lv-:Jesus Droncho:/bin/bash:/home/jdroncho:-1:0:5:0:18:0:jdroncho@iesbrochillop.edu-gva.es:JD
uid=jaroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jaroncho:Aroncho:Jesus:Jesus Aroncho:Jesus Aroncho:50012:20001:SX/H3d?mtw:Jesus Aroncho:/bin/bash:/home/jaroncho:-1:0:5:0:18:0:jaroncho@iesbrochillop.edu-gva.es:JA
uid=jlroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jlroncho:Lroncho:Jesus:Jesus Lroncho:Jesus Lroncho:50013:20001:6EjM+_%h4~:Jesus Lroncho:/bin/bash:/home/jlroncho:-1:0:5:0:18:0:jlroncho@iesbrochillop.edu-gva.es:JL
uid=jnroncho,ou=DeptDocenciaBACH,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:jnroncho:Nroncho:Jesus:Jesus Nroncho:Jesus Nroncho:50014:20001:G!&yS95gEZ:Jesus Nroncho:/bin/bash:/home/jnroncho:-1:0:5:0:18:0:jnroncho@iesbrochillop.edu-gva.es:JN
uid=cfroncho,ou=DeptInformatica,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:cfroncho:Froncho:Carlos:Carlos Froncho:Carlos Froncho:50015:20002:C*2ob!gD4w:Carlos Froncho:/bin/bash:/home/cfroncho:-1:0:3:0:7:0:cfroncho@iesbrochillop.edu-gva.es:CF
uid=csenior,ou=DeptInformatica,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:csenior:Senior:Carlos:Carlos Senior:Carlos Senior:50016:20002:]%2<cYcWHZ:Carlos Senior:/bin/bash:/home/csenior:-1:0:3:0:7:0:csenior@iesbrochillop.edu-gva.es:CS
uid=akodak,ou=DeptConserjeria,dc=Iesbrochillop,dc=edu-gva,dc=es:inetOrgPerson:posixAccount:shadowAccount:akodak:Kodak:Alias:Alias Kodak:Alias Kodak:50017:20003:Ax,;agy80m:Alias Kodak:/bin/bash:/home/akodak:-1:0:3:0:7:0:akodak@iesbrochillop.edu-gva.es:AK
